Date,Open,High,Low,Close
2022-08-05,1.2159,1.2168,1.2008,1.2159
2022-08-08,1.2064,1.2135,1.2049,1.2060
2022-08-09,1.2085,1.2129,1.2068,1.2085
2022-08-10,1.2073,1.2274,1.2067,1.2074
2022-08-11,1.2213,1.2249,1.2183,1.2213
2022-08-12,1.2197,1.2210,1.2104,1.2196
2022-08-15,1.2130,1.2148,1.2051,1.2128
2022-08-16,1.2056,1.2116,1.2009,1.2057
2022-08-17,1.2097,1.2138,1.2030,1.2098
2022-08-18,1.2046,1.2078,1.1969,1.2045
2022-08-19,1.1934,1.1934,1.1793,1.1933
2022-08-22,1.1818,1.1839,1.1743,1.1818
2022-08-23,1.1767,1.1873,1.1720,1.1767
2022-08-24,1.1832,1.1865,1.1759,1.1833
2022-08-25,1.1790,1.1863,1.1786,1.1792
2022-08-26,1.1826,1.1900,1.1753,1.1824
2022-08-29,1.1692,1.1743,1.1650,1.1695
2022-08-30,1.1721,1.1758,1.1623,1.1723
2022-08-31,1.1661,1.1695,1.1600,1.1660
2022-09-01,1.1597,1.1617,1.1503,1.1599
2022-09-02,1.1547,1.1589,1.1531,1.1549
2022-09-05,1.1479,1.1521,1.1445,1.1475
2022-09-06,1.1569,1.1608,1.1496,1.1566
2022-09-07,1.1513,1.1524,1.1410,1.1512
2022-09-08,1.1522,1.1560,1.1462,1.1520
2022-09-09,1.1520,1.1649,1.1517,1.1522
2022-09-12,1.1618,1.1711,1.1602,1.1619
2022-09-13,1.1690,1.1738,1.1520,1.1690
2022-09-14,1.1504,1.1589,1.1481,1.1506
2022-09-15,1.1543,1.1549,1.1470,1.1545
2022-09-16,1.1455,1.1481,1.1353,1.1453
2022-09-19,1.1436,1.1442,1.1356,1.1433
2022-09-20,1.1448,1.1460,1.1384,1.1443
2022-09-21,1.1381,1.1386,1.1306,1.1381
2022-09-22,1.1255,1.1363,1.1213,1.1256
2022-09-23,1.1263,1.1273,1.0899,1.1264
2022-09-26,1.0799,1.0916,1.0379,1.0797
2022-09-27,1.0770,1.0835,1.0738,1.0773
2022-09-28,1.0728,1.0840,1.0542,1.0728
2022-09-29,1.0835,1.1066,1.0764,1.0836
2022-09-30,1.1162,1.1234,1.1027,1.1169
2022-10-03,1.1136,1.1332,1.1088,1.1141
2022-10-04,1.1340,1.1446,1.1282,1.1334
2022-10-05,1.1451,1.1495,1.1228,1.1451
2022-10-06,1.1356,1.1383,1.1120,1.1355
2022-10-07,1.1165,1.1224,1.1092,1.1162
2022-10-10,1.1074,1.1111,1.1024,1.1073
2022-10-11,1.1078,1.1171,1.1002,1.1076
2022-10-12,1.0968,1.1099,1.0926,1.0968
2022-10-13,1.1099,1.1362,1.1058,1.1106
2022-10-14,1.1301,1.1359,1.1162,1.1304
2022-10-17,1.1239,1.1439,1.1217,1.1244
2022-10-18,1.1355,1.1412,1.1258,1.1354
2022-10-19,1.1340,1.1350,1.1222,1.1344
2022-10-20,1.1210,1.1333,1.1174,1.1211
2022-10-21,1.1225,1.1293,1.1064,1.1221
2022-10-24,1.1336,1.1380,1.1275,1.1345
2022-10-25,1.1305,1.1500,1.1274,1.1308
2022-10-26,1.1461,1.1624,1.1434,1.1462
2022-10-27,1.1633,1.1644,1.1551,1.1638
2022-10-28,1.1567,1.1600,1.1506,1.1566
2022-10-31,1.1601,1.1613,1.1480,1.1596
2022-11-01,1.1472,1.1565,1.1447,1.1468
2022-11-02,1.1492,1.1527,1.1459,1.1490
2022-11-03,1.1382,1.1422,1.1163,1.1384
2022-11-04,1.1171,1.1334,1.1163,1.1171
2022-11-07,1.1338,1.1483,1.1295,1.1332
2022-11-08,1.1513,1.1598,1.1431,1.1518
2022-11-09,1.1549,1.1567,1.1359,1.1553
2022-11-10,1.1369,1.1683,1.1365,1.1368
2022-11-11,1.1699,1.1800,1.1649,1.1696
2022-11-14,1.1797,1.1828,1.1712,1.1799
2022-11-15,1.1753,1.2004,1.1743,1.1753
2022-11-16,1.1881,1.1941,1.1833,1.1880
