Date,Open,High,Low,Close
2023-02-13,4580.00,4593.50,4527.75,4537.25
2023-02-14,4617.75,4621.75,4591.00,4601.25
2023-02-15,4608.75,4619.25,4595.25,4614.50
2023-02-16,4566.00,4616.50,4558.00,4606.50
2023-02-17,4594.75,4634.50,4553.75,4564.25
2023-02-20,4604.75,4610.75,4573.75,4595.25
2023-02-21,4584.50,4608.75,4579.25,4596.00
2023-02-22,4564.25,4592.50,4560.00,4583.50
2023-02-23,4566.25,4590.00,4561.75,4564.75
2023-02-24,4593.25,4594.25,4557.25,4565.50
2023-02-27,4582.75,4609.25,4582.25,4597.00
2023-02-28,4550.25,4594.50,4544.75,4587.75
2023-03-01,4536.00,4565.75,4528.00,4553.75
2023-03-02,4539.50,4560.50,4531.00,4536.75
2023-03-03,4510.50,4551.50,4509.25,4543.50
2023-03-06,4471.00,4523.75,4470.00,4507.50
2023-03-07,4445.75,4478.50,4439.00,4473.50
2023-03-08,4437.50,4448.25,4411.25,4444.25
2023-03-09,4441.25,4476.00,4431.50,4434.00
2023-03-10,4481.75,4483.50,4419.50,4447.00
2023-03-13,4490.00,4492.75,4466.25,4483.75
2023-03-14,4485.50,4494.00,4479.50,4492.25
2023-03-15,4435.25,4498.00,4433.00,4488.25
2023-03-16,4423.75,4438.00,4409.75,4435.75
2023-03-17,4414.00,4430.25,4399.25,4417.50
2023-03-20,4375.75,4424.75,4371.50,4418.75
2023-03-21,4390.00,4403.00,4368.50,4370.25
2023-03-22,4425.75,4426.25,4381.50,4389.00
2023-03-23,4410.00,4427.00,4393.00,4423.75
2023-03-24,4430.25,4438.50,4403.50,4409.25
2023-03-27,4449.00,4451.00,4410.50,4434.75
2023-03-28,4469.00,4493.75,4451.00,4453.75
2023-03-29,4422.75,4485.50,4393.75,4471.25
2023-03-30,4417.25,4439.50,4383.50,4418.50
2023-03-31,4389.75,4423.25,4381.75,4416.75
2023-04-03,4349.75,4391.25,4348.75,4388.00
2023-04-04,4297.75,4325.50,4284.00,4304.75
2023-04-05,4273.25,4302.50,4262.75,4298.25
2023-04-06,4292.25,4304.75,4269.25,4274.25
2023-04-07,4279.75,4294.75,4268.50,4289.75
2023-04-10,4288.00,4305.75,4273.00,4281.00
2023-04-11,4231.75,4297.75,4229.00,4288.00
2023-04-12,4188.50,4239.75,4178.00,4228.00
2023-04-13,4213.00,4217.75,4174.00,4190.50
2023-04-14,4224.00,4243.00,4200.00,4215.00
2023-04-17,4157.00,4221.25,4146.00,4213.25
2023-04-18,4157.00,4175.50,4131.50,4159.75
2023-04-19,4158.00,4166.25,4114.00,4126.00
2023-04-20,4207.50,4222.75,4153.00,4158.75
2023-04-21,4189.00,4221.75,4186.50,4205.00
2023-04-24,4215.50,4227.25,4191.50,4204.75
2023-04-25,4171.25,4215.75,4161.25,4212.00
2023-04-26,4126.00,4179.00,4122.00,4171.50
2023-04-27,4148.25,4151.50,4120.00,4123.00
2023-04-28,4132.25,4156.25,4123.00,4150.00
2023-05-01,4144.50,4164.50,4111.75,4138.00
2023-05-02,4152.75,4168.50,4121.50,4143.75
2023-05-03,4133.00,4173.25,4112.25,4152.00
2023-05-04,4150.50,4153.00,4131.00,4134.00
2023-05-05,4151.00,4161.00,4137.50,4152.75
2023-05-08,4077.25,4163.25,4076.75,4150.25
2023-05-09,4087.00,4118.00,4062.25,4075.75
2023-05-10,4133.25,4167.00,4095.00,4107.50
2023-05-11,4179.50,4191.50,4105.50,4136.75
2023-05-12,4190.00,4206.25,4178.50,4185.75
2023-05-15,4151.00,4193.75,4131.50,4188.50
2023-05-16,4085.50,4166.50,4080.75,4153.75
2023-05-17,4110.25,4116.25,4068.75,4076.00
2023-05-18,4157.25,4158.50,4091.50,4093.25
2023-05-19,4150.00,4164.25,4133.50,4159.50
2023-05-22,4153.75,4161.00,4135.25,4156.75
2023-05-23,4172.25,4173.50,4137.00,4152.50
2023-05-24,4176.00,4187.50,4150.50,4178.50
2023-05-25,4177.00,4198.25,4164.50,4180.00
2023-05-26,4174.25,4180.50,4148.00,4176.75
2023-05-29,4168.75,4189.00,4138.00,4163.75
2023-05-30,4117.50,4177.00,4110.25,4172.75
2023-05-31,4137.50,4177.75,4113.50,4119.00
2023-06-01,4138.50,4151.75,4128.75,4136.50
2023-06-02,4139.00,4143.00,4098.75,4136.25
2023-06-05,4113.75,4135.25,4096.50,4132.00
2023-06-06,4134.00,4135.50,4099.00,4117.25
2023-06-07,4152.50,4171.75,4115.25,4129.00
2023-06-08,4127.00,4157.75,4122.75,4153.75
2023-06-09,4081.00,4142.50,4078.00,4137.75
2023-06-12,4058.00,4087.75,4052.50,4080.00
2023-06-13,4006.50,4061.25,4006.00,4057.50
2023-06-14,4013.50,4023.75,3980.75,4001.50
2023-06-15,4008.00,4034.25,3997.50,4007.25
2023-06-16,3988.75,4010.75,3937.00,4001.25
2023-06-19,3972.75,4039.50,3948.50,3978.00
2023-06-20,4038.75,4073.75,3966.25,3970.50
2023-06-21,3986.50,4043.25,3981.75,4035.75
2023-06-22,3963.75,3989.50,3897.25,3983.00
2023-06-23,3995.00,4009.25,3932.50,3947.00
2023-06-26,3924.75,4000.00,3895.00,3994.50
2023-06-27,3953.75,3964.00,3865.00,3925.00
2023-06-28,3897.25,3972.50,3885.00,3954.25
2023-06-29,3920.50,3971.50,3839.25,3888.75
2023-06-30,3919.00,3941.75,3846.25,3862.75
2023-07-03,3997.00,4019.75,3909.50,3920.00
2023-07-04,3990.00,4003.25,3971.50,3995.00
2023-07-05,4053.75,4064.50,3982.50,3989.75
2023-07-06,4049.25,4082.50,4041.75,4052.50
2023-07-07,3983.00,4053.00,3974.00,4049.75
2023-07-10,3959.75,3995.25,3925.00,3984.75
2023-07-11,3968.50,3991.00,3943.00,3956.50
2023-07-12,3991.50,4003.75,3965.00,3975.50
2023-07-13,3976.50,4024.75,3973.00,3988.00
2023-07-14,4015.25,4023.25,3947.50,3975.75
2023-07-17,4010.00,4034.25,3974.25,4018.75
2023-07-18,4007.50,4025.00,3983.75,3999.00
2023-07-19,4076.00,4077.75,4002.00,4005.75
2023-07-20,4095.50,4096.00,4055.75,4087.50
2023-07-21,4159.00,4168.50,4095.00,4099.75
2023-07-24,4141.25,4161.75,4113.00,4158.25
2023-07-25,4149.75,4186.50,4103.75,4145.50
2023-07-26,4105.00,4150.75,4078.75,4147.25
2023-07-27,4098.00,4104.25,4060.75,4099.75
2023-07-28,4132.25,4170.25,4078.25,4091.75
2023-07-31,4167.25,4179.25,4121.25,4130.50
2023-08-01,4123.50,4188.25,4098.25,4175.75
2023-08-02,4134.25,4143.00,4104.00,4123.50
2023-08-03,4176.00,4194.00,4132.50,4147.75
