Date,Open,High,Low,Close
2022-08-04,1782.1,1812,1779.4,1806.9
2022-08-05,1807.7,1811.6,1780.2,1791.2
2022-08-08,1790.3,1806.4,1786.9,1805.2
2022-08-09,1805.5,1817,1799.4,1812.3
2022-08-10,1811.5,1824.6,1803.3,1813.7
2022-08-11,1807.9,1814.9,1798.6,1807.2
2022-08-12,1805.2,1819.1,1799.6,1815.5
2022-08-15,1818.9,1818.9,1787.6,1798.1
2022-08-16,1795.5,1798,1785.4,1789.7
2022-08-17,1790.8,1796.6,1773.9,1776.7
2022-08-18,1777.1,1786.3,1768.8,1771.2
2022-08-19,1773.1,1773.3,1759.1,1762.9
2022-08-22,1760.6,1762.1,1740.2,1748.4
2022-08-23,1750,1767.5,1743.1,1761.2
2022-08-24,1761.3,1769.5,1754.8,1761.5
2022-08-25,1764.4,1778.8,1763,1771.4
2022-08-26,1771.8,1772.3,1746.2,1749.8
2022-08-29,1748.4,1757.9,1731.4,1749.7
2022-08-30,1749.8,1752.8,1732.9,1736.3
2022-08-31,1735.5,1738,1720.6,1726.2
2022-09-01,1723,1723,1699.1,1709.3
2022-09-02,1707.8,1729.5,1705.9,1722.6
2022-09-04,1723.6,1723.75,1718.65,1718.65
2022-09-05,1724.2,1737.4,1710.6,1712.9
2022-09-06,1719.7,1719.7,1714.2,1707.9
2022-09-07,1712.9,1731.2,1701.7,1727.8
2022-09-08,1729.5,1739.4,1713.7,1720.2
2022-09-09,1719.6,1740.5,1719.4,1728.6
2022-09-12,1728.4,1746.4,1722.3,1740.6
2022-09-13,1736,1742.9,1706.7,1717.4
2022-09-14,1711.6,1717.3,1703.3,1709.1
2022-09-15,1707.2,1707.8,1668.9,1677.3
2022-09-16,1673.7,1689.9,1661.9,1683.5
2022-09-19,1685.4,1688.8,1667.6,1678.2
2022-09-20,1684.9,1688.8,1668.1,1671.1
2022-09-21,1673.2,1696.9,1661.3,1675.7
2022-09-22,1682.8,1693.5,1663.3,1681.1
2022-09-23,1680.1,1685,1646.6,1655.6
2022-09-26,1651,1657.2,1627.7,1633.4
2022-09-27,1629.2,1650.1,1628.7,1636.2
2022-09-28,1636.5,1671.6,1622.2,1670
2022-09-29,1669,1673.1,1649.3,1668.6
2022-09-30,1669.5,1684.4,1667.5,1672
2022-10-03,1670.5,1710.4,1666.5,1702
2022-10-04,1708.4,1738.7,1704,1730.5
2022-10-05,1734.4,1736.6,1708.8,1720.8
2022-10-06,1725.5,1734.2,1714.8,1720.8
2022-10-07,1721,1722.8,1698.4,1709.3
2022-10-10,1703.4,1707.4,1672.5,1675.2
2022-10-11,1675.6,1691.3,1667.5,1686
2022-10-12,1673.4,1685.1,1668,1677.5
2022-10-13,1680.2,1688.9,1648.3,1677
2022-10-14,1672.8,1677.8,1645.6,1648.9
2022-10-17,1649.9,1674.3,1649.1,1664
2022-10-18,1655.9,1666,1650.6,1655.8
2022-10-19,1657.2,1659.8,1632.2,1634.2
2022-10-20,1634.6,1650.3,1626.3,1636.8
2022-10-21,1632.4,1663.1,1621.1,1656.3
2022-10-24,1662.9,1675.5,1648,1654.1
2022-10-25,1654.5,1666.8,1641.2,1658
2022-10-26,1657.7,1679.4,1653.8,1669.2
2022-10-27,1668.8,1674.8,1658.5,1665.6
2022-10-28,1667.2,1670.9,1640.7,1644.8
2022-10-31,1647.2,1648.5,1634.5,1640.7
2022-11-01,1636.1,1660.3,1633.6,1649.7
2022-11-02,1651.4,1673.1,1637.4,1650
2022-11-03,1639.1,1643.2,1618.3,1630.9
2022-11-04,1631.7,1686.4,1631.1,1676.6
2022-11-07,1678.6,1685.6,1670,1680.5
2022-11-08,1678,1720.4,1667.1,1716
2022-11-09,1715.2,1725.8,1705.1,1713.7
2022-11-10,1709.7,1760.6,1705.5,1753.7
2022-11-11,1758.3,1775.6,1750.3,1769.4
2022-11-14,1769.4,1778.4,1755.8,1776.9
2022-11-15,1774,1791.8,1770.2,1776.8
2022-11-16,1782,1788.2,1773.4,1775.8
2022-11-17,1777,1777.6,1756.6,1763
2022-11-18,1763.1,1769.9,1749.2,1754.4
2022-11-21,1752,1755,1733.9,1739.6
2022-11-22,1739.7,1751,1737.6,1739.9
2022-11-23,1740.8,1754.9,1719,1745.6
2022-11-24,1751,1761.2,1745.9,1754
2022-11-25,1751,1761.2,1745.9,1754
2022-11-28,1755,1763.5,1738.2,1740.3
2022-11-29,1754.6,1773.4,1752.9,1763.7
2022-11-30,1763.4,1784.2,1758.2,1759.9
2022-12-01,1783.1,1818.4,1782.9,1815.2
2022-12-02,1817,1818.7,1791.8,1809.6
2022-12-05,1810.5,1822.9,1778.1,1781.3
2022-12-06,1780.8,1793.2,1779.1,1782.4
2022-12-07,1783.3,1803.2,1780.5,1798
2022-12-08,1799.5,1806.9,1793.2,1801.5
2022-12-09,1801.9,1819,1800.1,1810.7
2022-12-12,1808,1809.3,1789,1792.3
2022-12-13,1792.3,1836.9,1791.8,1825.5
2022-12-14,1822.6,1825.4,1806.2,1818.7
2022-12-15,1818.7,1819.7,1782,1787.8
2022-12-16,1786.9,1804.2,1783.9,1800.2
2022-12-19,1801.6,1808.6,1793.2,1797.7
2022-12-20,1796.8,1832.4,1793.7,1825.4
2022-12-21,1827.9,1833.8,1821.3,1825.4
2022-12-22,1823.8,1829.3,1792.7,1795.3
2022-12-23,1801,1812.2,1798.9,1804.2
2022-12-26,1805.8,1811.95,1805.55,1809.7
2022-12-27,1808.2,1841.9,1808,1823.1
2022-12-28,1822.4,1822.8,1804.2,1815.8
2022-12-29,1812.3,1827.3,1811.2,1826
2022-12-30,1821.8,1832.4,1819.8,1826.2
2023-01-02,1834.55,1837.9,1831.4,1835.8
2023-01-03,1831.8,1856.6,1831.3,1846.1
2023-01-04,1845.2,1871.3,1842,1859
2023-01-05,1861.2,1864.3,1829.9,1840.6
2023-01-06,1835.9,1875.2,1835.2,1869.7
2023-01-09,1872.8,1886.4,1869.3,1877.8
2023-01-10,1875.7,1885.2,1872,1876.5
2023-01-11,1881.3,1890.9,1870.9,1878.9
2023-01-12,1879.7,1906.5,1872.4,1898.8
2023-01-13,1898.8,1925.3,1895.1,1921.7
2023-01-15,1923.25,1923.6,1919.85,1919.9
2023-01-16,1923.8,1931.8,1906.2,1909.9
2023-01-17,1920.1,1920.1,1905.2,1907.2
2023-01-18,1911.1,1929.8,1898.6,1907
2023-01-19,1907,1936.9,1902,1923.9
2023-01-20,1933.7,1939,1922,1928.2
2023-01-23,1936.1,1943.7,1920.1,1936.2
2023-01-24,1940.5,1950.6,1926.3,1943.1
2023-01-25,1946,1956,1928.7,1950.3
2023-01-26,1955.3,1957,1926.5,1937.6
2023-01-27,1936.8,1943,1923.7,1936.6
2023-01-30,1928.3,1933.6,1920.3,1922.9
2023-01-31,1923,1930.4,1900.6,1929.5
2023-02-01,1927.2,1955,1922,1927.8
2023-02-02,1952.3,1959.1,1911.3,1916.3
2023-02-03,1912.4,1917,1861.5,1862.9
2023-02-06,1865.6,1880,1863.4,1866.2
2023-02-07,1870,1875.7,1868,1871.7
2023-02-08,1872.1,1880.4,1872.1,1877.4
2023-02-09,1875.3,1884.6,1859.8,1866.2
2023-02-10,1861.6,1863.5,1852.4,1862.8
2023-02-13,1859,1861,1850,1851.9
2023-02-14,1854.1,1862,1846.2,1854
2023-02-15,1842,1842,1828.2,1834.2
2023-02-16,1838.6,1843.7,1827.2,1842
2023-02-17,1827.4,1842.2,1818.4,1840.4
2023-02-19,1851.2,1852.15,1847.55,1847.75
2023-02-20,1847.55,1856.35,1846.3,1850.5
2023-02-21,1850.5,1856.4,1839,1842.5
2023-02-22,1837,1846.4,1825.1,1833.3
2023-02-23,1823.6,1832.7,1818.3,1818.8
2023-02-24,1825.2,1827.1,1808.8,1809.2
2023-02-27,1818,1827.3,1812,1824.9
2023-02-28,1823.9,1838.6,1810.8,1836.7
2023-03-01,1834,1852.5,1829.6,1845.4
2023-03-02,1843.8,1845.3,1835.9,1840.5
2023-03-03,1842.1,1864.4,1842,1854.6
2023-03-06,1861,1864.3,1850.6,1854.6
2023-03-07,1852.6,1856.9,1817.1,1820
2023-03-08,1818,1828.7,1813.4,1818.6
2023-03-09,1818,1839.4,1815.4,1834.6
2023-03-10,1835.1,1874.3,1830,1867.2
2023-03-13,1877.1,1919.5,1875.7,1916.5
2023-03-14,1919.4,1919.4,1899.8,1910.9
2023-03-15,1924.5,1959.1,1906,1948.1
2023-03-16,1940.2,1954.6,1928.4,1939.7
2023-03-17,1942.7,2010.4,1939.1,1990.2
2023-03-20,2008.6,2031.7,1987,1999.7
2023-03-21,2000.7,2005.7,1955.9,1958.3
2023-03-22,1959.7,1999.4,1953.7,1966.6
2023-03-23,1992.5,2023.3,1984.4,2013.3
2023-03-24,2013.3,2023.9,1995.7,2001.7
2023-03-27,2000.3,2001.5,1962.7,1971.5
2023-03-28,1957.8,1977.1,1949.9,1973.5
2023-03-29,1975.4,1976,1959.5,1966.9
2023-03-30,1965.9,1984.4,1954.9,1980.3
2023-03-31,1981.3,1986.8,1968,1969
2023-04-03,1968.1,1991.7,1950,1983.9
2023-04-04,1984.6,2027.1,1979,2022.2
2023-04-05,2022.1,2033.8,2013.6,2020.9
2023-04-06,2022.2,2023.3,2005,2011.9
2023-04-10,2000,2006.6,1984,1989.1
2023-04-11,1991.4,2006.5,1991.4,2004.8
2023-04-12,2005.2,2025.7,2005.2,2010.9
2023-04-13,2015.6,2048.6,2015.6,2041.3
2023-04-14,2041,2047.8,1995,2002.2
2023-04-17,2002.7,2007.6,1983.2,1994.2
2023-04-18,1997.1,2013.4,1994.5,2010.3
2023-04-19,2008.5,2009.7,1971.9,1998
2023-04-20,1996.5,2014.5,1994.2,2009.8
2023-04-21,2005.1,2007,1973,1981.3
2023-04-24,1983.2,1991,1975.3,1990.6
2023-04-25,1995.4,2005,1979.3,1995.1
2023-04-26,2000,2009.8,1986.6,1986.9
2023-04-27,1999.8,2013.3,1982,1999
2023-04-28,1997.2,2004.1,1984.4,1999.1
2023-05-01,2000.2,2015.4,1985.7,1992.2
2023-05-02,1990.5,2028.8,1986.9,2023.3
2023-05-03,2026.4,2050,2016,2037
2023-05-04,2054.7,2085.4,2038.5,2055.7
2023-05-05,2058,2061.3,2007,2024.8
2023-05-08,2024.6,2037.1,2022,2033.2
2023-05-09,2028.4,2045.1,2026.4,2042.9
2023-05-10,2041.6,2056,2028.3,2037.1
2023-05-11,2036.8,2047.6,2016.7,2020.5
2023-05-12,2020.5,2027.8,2005.7,2019.8
2023-05-15,2013.8,2017.1,2013.8,2018
2023-05-16,2021.3,2022.7,1989.1,1988.4
2023-05-17,1983.6,1983.6,1983.6,1980.7
